,t,T,process
3877,7.833333333334544,304.212,DoE2_R2
3878,7.841666666667884,304.14799999999997,DoE2_R2
3879,7.8500000000012164,304.14799999999997,DoE2_R2
3880,7.858333333334549,304.14799999999997,DoE2_R2
3881,7.866666666667889,304.14799999999997,DoE2_R2
3882,7.875000000001222,304.14799999999997,DoE2_R2
3883,7.883333333334555,304.14799999999997,DoE2_R2
3884,7.891666666667888,304.14799999999997,DoE2_R2
3885,7.900000000001221,304.10299999999995,DoE2_R2
3886,7.908333333334561,304.10299999999995,DoE2_R2
3887,7.9166666666678935,304.10299999999995,DoE2_R2
3888,7.925000000001226,304.10299999999995,DoE2_R2
3889,7.933333333334566,304.10299999999995,DoE2_R2
3890,7.941666666667899,304.18199999999996,DoE2_R2
3891,7.950000000001232,304.18199999999996,DoE2_R2
3892,7.958333333334565,304.18199999999996,DoE2_R2
3893,7.966666666667898,304.18199999999996,DoE2_R2
3894,7.975000000001238,304.18199999999996,DoE2_R2
3895,7.983333333334571,304.25,DoE2_R2
3896,7.9916666666679035,304.25,DoE2_R2
3897,8.000000000001243,304.25,DoE2_R2
3898,8.008333333334576,304.25,DoE2_R2
3899,8.01666666666791,304.25,DoE2_R2
3900,8.025000000001242,304.25,DoE2_R2
3901,8.033333333334575,304.25,DoE2_R2
3902,8.041666666667915,304.25,DoE2_R2
3903,8.050000000001248,304.25,DoE2_R2
3904,8.05833333333458,304.31199999999995,DoE2_R2
3905,8.06666666666792,304.31199999999995,DoE2_R2
3906,8.075000000001253,304.31199999999995,DoE2_R2
3907,8.083333333334586,304.31199999999995,DoE2_R2
3908,8.09166666666792,304.31199999999995,DoE2_R2
3909,8.100000000001252,304.31199999999995,DoE2_R2
3910,8.108333333334592,304.31199999999995,DoE2_R2
3911,8.116666666667925,304.31199999999995,DoE2_R2
3912,8.125000000001258,304.31199999999995,DoE2_R2
3913,8.133333333334598,304.31199999999995,DoE2_R2
3914,8.14166666666793,304.31199999999995,DoE2_R2
3915,8.150000000001263,304.31199999999995,DoE2_R2
3916,8.158333333334596,304.31199999999995,DoE2_R2
3917,8.166666666667929,304.31199999999995,DoE2_R2
3918,8.175000000001269,304.24899999999997,DoE2_R2
3919,8.183333333334602,304.24899999999997,DoE2_R2
3920,8.191666666667935,304.24899999999997,DoE2_R2
3921,8.200000000001275,304.24899999999997,DoE2_R2
3922,8.208333333334608,304.18199999999996,DoE2_R2
3923,8.216388888890158,304.18199999999996,DoE2_R2
3924,8.225000000001266,304.162,DoE2_R2
3925,8.233333333334606,304.162,DoE2_R2
3926,8.241666666667939,304.162,DoE2_R2
3927,8.250000000001272,304.162,DoE2_R2
3928,8.258333333334612,304.162,DoE2_R2
3929,8.266666666667945,304.13,DoE2_R2
3930,8.275000000001278,304.13,DoE2_R2
3931,8.28333333333461,304.13,DoE2_R2
3932,8.291666666667943,304.13,DoE2_R2
3933,8.300000000001283,304.13,DoE2_R2
3934,8.308333333334616,304.13,DoE2_R2
3935,8.316666666667949,304.13,DoE2_R2
3936,8.325000000001289,304.13,DoE2_R2
3937,8.333333333334622,304.13,DoE2_R2
3938,8.341666666667955,304.078,DoE2_R2
3939,8.350000000001288,304.078,DoE2_R2
3940,8.35833333333462,304.078,DoE2_R2
3941,8.36666666666796,304.078,DoE2_R2
3942,8.375000000001293,304.078,DoE2_R2
3943,8.383333333334626,304.078,DoE2_R2
3944,8.391666666667966,304.078,DoE2_R2
3945,8.400000000001299,304.078,DoE2_R2
3946,8.408333333334632,304.078,DoE2_R2
3947,8.416666666667965,304.078,DoE2_R2
3948,8.425000000001297,304.14799999999997,DoE2_R2
3949,8.433333333334637,304.14799999999997,DoE2_R2
3950,8.44166666666797,304.14799999999997,DoE2_R2
3951,8.450000000001303,304.14799999999997,DoE2_R2
3952,8.458333333334643,304.14799999999997,DoE2_R2
3953,8.466666666667976,304.195,DoE2_R2
3954,8.475000000001309,304.195,DoE2_R2
3955,8.483333333334642,304.195,DoE2_R2
3956,8.491666666667975,304.195,DoE2_R2
3957,8.500000000001315,304.195,DoE2_R2
3958,8.508333333334647,304.195,DoE2_R2
3959,8.51666666666798,304.195,DoE2_R2
3960,8.524722222223538,304.195,DoE2_R2
3961,8.533055555556878,304.195,DoE2_R2
3962,8.54138888889021,304.195,DoE2_R2
3963,8.549722222223544,304.195,DoE2_R2
3964,8.558055555556876,304.251,DoE2_R2
3965,8.566666666667992,304.251,DoE2_R2
3966,8.575000000001324,304.251,DoE2_R2
3967,8.583333333334657,304.251,DoE2_R2
3968,8.591666666667997,304.251,DoE2_R2
3969,8.60000000000133,304.251,DoE2_R2
3970,8.608333333334663,304.251,DoE2_R2
3971,8.616666666667996,304.251,DoE2_R2
3972,8.625000000001329,304.251,DoE2_R2
3973,8.633333333334669,304.251,DoE2_R2
3974,8.641666666668002,304.251,DoE2_R2
3975,8.650000000001334,304.251,DoE2_R2
3976,8.658333333334674,304.251,DoE2_R2
3977,8.666666666668007,304.251,DoE2_R2
3978,8.674722222223558,304.251,DoE2_R2
3979,8.683333333334666,304.251,DoE2_R2
3980,8.691666666668006,304.251,DoE2_R2
3981,8.700000000001339,304.251,DoE2_R2
3982,8.708333333334672,304.251,DoE2_R2
3983,8.716666666668011,304.251,DoE2_R2
3984,8.725000000001344,304.236,DoE2_R2
3985,8.733333333334677,304.236,DoE2_R2
3986,8.741388888890235,304.236,DoE2_R2
3987,8.749722222223568,304.236,DoE2_R2
3988,8.758333333334683,304.236,DoE2_R2
3989,8.766666666668016,304.236,DoE2_R2
3990,8.775000000001349,304.236,DoE2_R2
3991,8.783333333334689,304.236,DoE2_R2
3992,8.791666666668021,304.236,DoE2_R2
3993,8.800000000001354,304.236,DoE2_R2
3994,8.808333333334687,304.236,DoE2_R2
3995,8.81666666666802,304.236,DoE2_R2
3996,8.82500000000136,304.236,DoE2_R2
3997,8.833333333334693,304.236,DoE2_R2
3998,8.841666666668026,304.236,DoE2_R2
3999,8.850000000001366,304.236,DoE2_R2
4000,8.858333333334699,304.236,DoE2_R2
4001,8.866666666668031,304.192,DoE2_R2
4002,8.875000000001364,304.192,DoE2_R2
4003,8.883333333334697,304.192,DoE2_R2
4004,8.891666666668037,304.192,DoE2_R2
4005,8.90000000000137,304.192,DoE2_R2
4006,8.908333333334703,304.192,DoE2_R2
4007,8.91638888889026,304.192,DoE2_R2
4008,8.9247222222236,304.192,DoE2_R2
4009,8.933055555556933,304.192,DoE2_R2
4010,8.941388888890266,304.192,DoE2_R2
4011,8.949722222223599,304.192,DoE2_R2
4012,8.958333333334714,304.192,DoE2_R2
4013,8.966666666668047,304.192,DoE2_R2
4014,8.97500000000138,304.192,DoE2_R2
4015,8.98333333333472,304.192,DoE2_R2
4016,8.991666666668053,304.192,DoE2_R2
4017,9.000000000001386,304.192,DoE2_R2
4018,9.008333333334718,304.192,DoE2_R2
4019,9.016666666668051,304.192,DoE2_R2
4020,9.025000000001391,304.192,DoE2_R2
4021,9.033333333334724,304.253,DoE2_R2
4022,9.041666666668057,304.253,DoE2_R2
4023,9.050000000001397,304.253,DoE2_R2
4024,9.05833333333473,304.253,DoE2_R2
4025,9.066666666668063,304.253,DoE2_R2
4026,9.075000000001396,304.253,DoE2_R2
4027,9.083333333334728,304.253,DoE2_R2
4028,9.091666666668068,304.253,DoE2_R2
4029,9.100000000001401,304.253,DoE2_R2
4030,9.108333333334734,304.253,DoE2_R2
4031,9.116666666668074,304.253,DoE2_R2
4032,9.125000000001407,304.253,DoE2_R2
4033,9.13333333333474,304.18199999999996,DoE2_R2
