,t,X,P,G,T,t_process,V,f_cum,f_base_cum,process
43,2.0919444444447706,33.86666666666671,0.79,0.0,308.16999999999996,26.58861111111151,1.1204020000000001,0.097491,0.076933,DoE2_R3
44,4.033333333333957,35.56666666666667,1.42,0.0,308.137,28.530000000000697,1.083938,0.112372,0.07946900000000001,DoE2_R3
45,6.033333333334248,37.09999999999999,2.42,0.0,308.2,30.53000000000099,1.048225,0.128047,0.082119,DoE2_R3
46,8.066666666667835,37.96666666666663,3.04,0.0,308.202,32.563333333334576,1.013318,0.144334,0.084897,DoE2_R3
47,10.041666666668078,39.69999999999996,3.67,0.0,308.029,34.53833333333482,0.980111,0.16051999999999997,0.08762,DoE2_R3
48,11.991666666668335,40.50000000000009,3.98,0.0,308.044,36.48833333333508,0.944775,0.176636,0.090159,DoE2_R3
49,0.0,23.06666666666657,0.0,0.0,298.746,22.999166666666667,1.259464,0.15424100000000002,0.048055999999999995,DoE3_R3
50,2.2002777777777744,28.366666666666653,0.52,0.0,298.56,25.19944444444444,1.323008,0.206042,0.058912,DoE3_R3
51,4.18333333333333,32.66666666666662,1.43,0.0,298.512,27.1825,1.339183,0.263346,0.07177800000000001,DoE3_R3
52,6.191944444444442,38.299999999999926,2.63,0.0,298.568,29.19111111111111,1.371613,0.333901,0.086712,DoE3_R3
53,8.191944444444445,44.19999999999994,3.68,0.0,299.371,31.191111111111116,1.4198689999999998,0.41941199999999995,0.103375,DoE3_R3
54,10.225277777777777,51.14999999999992,4.76,0.0,301.349,33.224444444444444,1.494663,0.525497,0.126166,DoE3_R3
55,12.141944444444448,60.150000000000034,5.23,0.0,303.253,35.141111111111115,1.58915,0.647107,0.153043,DoE3_R3
56,0.0,22.2,0.0,0.0,309.739,23.090555555555557,1.260313,0.162272,0.04689,DoE3_R4
57,2.091666666666669,28.23333333333333,1.32,0.0,309.659,25.182222222222222,1.321437,0.211424,0.057915,DoE3_R4
58,4.074999999999999,30.86666666666667,2.71,0.0,309.82399999999996,27.165555555555557,1.335261,0.268434,0.068827,DoE3_R4
59,6.083333333333336,33.26666666666663,3.6,0.0,309.861,29.17388888888889,1.3602750000000001,0.338644,0.077591,DoE3_R4
60,8.083333333333336,36.49999999999998,3.96,0.0,309.86699999999996,31.17388888888889,1.401716,0.423768,0.087948,DoE3_R4
61,10.116666666666667,41.59999999999994,4.02,0.0,309.82899999999995,33.20722222222222,1.4694690000000001,0.529335,0.104134,DoE3_R4
62,12.033333333333331,51.16666666666666,3.71,0.0,309.81399999999996,35.123888888888885,1.558763,0.650318,0.127445,DoE3_R4
63,0.0,23.59999999999999,0.0,0.0,304.215,22.991666666666667,1.268144,0.164149,0.046877,DoE3_R2
64,2.200277777777778,32.83333333333327,1.27,1.8726440417633567,304.35499999999996,25.191944444444445,1.405461,0.28089800000000004,0.067232,DoE3_R2
65,4.19166666666667,39.03333333333333,3.02,11.044498404272169,304.203,27.183333333333337,1.54152,0.44499700000000003,0.09249800000000001,DoE3_R2
66,6.200277777777778,46.13333333333328,4.56,33.48169660430265,305.205,29.191944444444445,1.7692860000000001,0.69755,0.12173600000000001,DoE3_R2
67,8.200277777777778,53.06666666666667,4.02,45.84417061912816,315.856,31.191944444444445,2.125052,1.077955,0.177097,DoE3_R2
68,10.225277777777777,54.7333333333333,2.88,81.49134170645452,316.373,33.216944444444444,2.244388,1.623665,0.200723,DoE3_R2
69,12.150277777777774,47.30000000000012,2.14,133.78241418037098,304.133,35.14194444444444,2.393437,2.2044740000000003,0.218963,DoE3_R2
70,0.0,45.13333333333325,0.0,0.5012072218927254,300.18699999999995,24.465000000000067,0.888132,0.11908400000000001,0.092336,DoE2_R1
71,2.1666666666670054,52.0333333333333,1.54,4.992031626795661,303.594,26.631666666667076,1.040672,0.249,0.114079,DoE2_R1
72,4.083333333333972,61.63333333333328,6.29,0.5012072218927254,306.082,28.54833333333404,1.179841,0.411543,0.145705,DoE2_R1
73,6.083333333334284,66.5,8.76,5.576672963308655,301.59999999999997,30.54833333333435,1.3989,0.650023,0.180284,DoE2_R1
74,8.125000000001272,63.03333333333328,7.62,42.38913134621821,300.37699999999995,32.59000000000134,1.715006,0.99909,0.201323,DoE2_R1
75,10.108333333334912,57.63333333333335,6.26,89.63386986408221,300.08,34.57333333333498,1.655014,1.4321959999999998,0.21220599999999998,DoE2_R1
76,12.04166666666854,46.00000000000004,4.88,139.03224802560874,300.15299999999996,36.50666666666861,1.834411,1.937174,0.220606,DoE2_R1
77,0.0,27.450000000000085,0.0,0.0129884492168867,308.12,23.63833333333333,1.333045,0.215947,0.064526,DoE1_R1
78,2.035277777777779,36.50000000000005,4.14,0.0129884492168867,308.17999999999995,25.67361111111111,1.4734960000000001,0.324288,0.096208,DoE1_R1
79,4.052777777777777,39.99999999999996,6.62,1.6766227946136918,308.14099999999996,27.69111111111111,1.6032629999999999,0.477842,0.12433,DoE1_R1
80,6.144444444444446,34.56666666666671,6.08,20.94389471934616,308.21999999999997,29.782777777777778,1.822192,0.7078,0.16739199999999999,DoE1_R1
81,8.169722222222223,29.33333333333329,5.57,53.48495758276613,308.144,31.808055555555555,2.135774,1.0312860000000001,0.211488,DoE1_R1
82,10.219444444444452,25.85000000000004,4.56,94.9680651568819,308.101,33.857777777777784,2.453333,1.491161,0.251172,DoE1_R1
83,12.027777777777782,22.93333333333325,3.82,141.01895279060878,308.2,35.666111111111114,2.515375,1.960859,0.27951600000000004,DoE1_R1
